gene	p_condition	p_time	p_time_condition	padj_condition	padj_time	padj_time_condition	classification	trajectory_cluster
GCC1	0.172601913222206	4.79455136759288e-07	0.496910455462054	0.888402866490071	6.53402681917308e-05	0.745940932089111	Shared dynamics	6
GCM1	0.62868115102681	1.75234526957335e-05	0.253450002931495	0.934027228637292	0.00105317919628628	0.539500422133843	Shared dynamics	2
GDPD1	0.0107227449557427	0.00013418693504913	0.879036662104785	0.716949534603347	0.00495010976260549	0.941555490654435	Shared dynamics	3
GFOD1	0.00621441652130446	0.000865674413217721	0.61411188280355	0.599147658660004	0.0192009063794832	0.829668993902052	Shared dynamics	1
GGT3P	0.205162590488051	0.000677007132893759	0.465306807599771	0.888402866490071	0.0161665676511103	0.714695222929267	Shared dynamics	2
GIMAP8	0.227259546062531	0.00330315055196717	0.270158524188454	0.888402866490071	0.0484733945198145	0.54391928875955	Shared dynamics	1
GIPC1	0.421854112944843	0.00337970227302492	0.21334645867834	0.890627500437432	0.0490167870903717	0.518678798056342	Shared dynamics	1
GJB7	0.496408340917789	0.000250727133904616	0.0224319877328426	0.908350131449352	0.00782005503939236	0.288554991676803	Shared dynamics	2
GLT25D1	0.169044746697457	0.00183537722418858	0.437549271435663	0.888402866490071	0.0322941867506077	0.685756409981115	Shared dynamics	1
GLUD1P7	0.0617462887322854	0.00194251127858575	0.330230774790266	0.888402866490071	0.033599006723218	0.568112700604047	Shared dynamics	3
GMFG	0.741802911592838	0.00180860096767776	0.153350578899743	0.954135607017512	0.0319544395577485	0.469630757818243	Shared dynamics	5
GNB1	0.423529432296801	0.000271860390156642	0.934986026736113	0.891123584759795	0.00832149486093206	0.968269025613887	Shared dynamics	1
GNB2	0.894571249496629	0.000173365208889442	0.738617029983464	0.98297124759387	0.00600213917378399	0.886091952538615	Shared dynamics	4
GNG4	0.694961174627607	4.07603950016711e-05	0.301640997644697	0.946452999384264	0.00205686181947112	0.56228530977574	Shared dynamics	2
GNGT2	0.175919949524977	0.00068785256823356	0.082690368338123	0.888402866490071	0.0163343990565208	0.398598235272033	Shared dynamics	1
GNL3L	0.0678765221506048	0.000669210204216508	0.467081132071392	0.888402866490071	0.0160260973748728	0.716648827665794	Shared dynamics	3
GNRHR2	0.482598063581651	0.00171846576542167	0.284626073696292	0.904728657530273	0.0307942156758477	0.550690584079036	Shared dynamics	2
GOLGA4	0.277301529461441	0	0.804160046078499	0.888402866490071	0	0.908513186026844	Shared dynamics	6
